CD_NOM,Nb Obs Total,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Façade Atlantique,Façade Manche,Façade Méditerranée,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
79783,188323,60136,20736,4438,6028,669,20,55,0,28316,15112,7306,4893,3074,3239,6576,27725
79908,271072,83661,25303,8543,20030,131,56,191,4,19925,14039,10310,17946,14543,8754,23944,23692
81295,116310,34461,11823,2697,9251,122,3,26,29,10173,5011,4023,7207,8579,4802,5046,13057
81508,10734,4709,341,66,38,171,0,0,1,307,52,85,241,754,65,3631,273
81541,24993,10369,3262,561,1648,141,1,3,0,3181,947,975,1155,800,761,268,921
81567,1667,224,23,14,5,798,2,0,0,75,96,12,25,75,32,188,98
82103,90257,35139,2044,0,40,209,0,0,64,781,0,56,298,5801,0,44778,1047
82620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83267,48810,16685,6411,1178,1899,9,5,1,1,4380,1374,924,3744,4421,1552,4358,1868
83420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83481,34152,1508,0,924,2,5434,46,3,653,1,0,0,4967,7794,1512,11308,0
84264,33509,2377,6,0,1,2669,0,0,1567,0,0,0,91,9814,0,16984,0
84458,31545,13174,831,3198,879,967,38,38,3,811,142,1074,3069,3767,1536,1256,762
84472,31245,8791,1983,631,846,623,1,14,191,501,96,317,1930,4543,877,9125,776
84534,95466,37665,8076,2486,2444,1487,10,24,124,4171,1121,1751,6271,10462,2060,14395,2919
189558,27894,15031,1314,3,123,0,1,0,1,1954,25,3,560,2689,17,6108,65
85174,395,37,5,2,8,0,0,0,0,125,12,3,17,14,0,131,41
189788,242,14,36,28,26,0,1,0,0,43,3,8,39,4,7,10,23
189836,53506,14875,4033,268,2522,739,0,4,0,3291,1055,697,1148,1133,741,18414,4586
85909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86083,34444,7296,32,7,4,896,0,0,649,11,2,1,504,7543,3,17486,10
87143,92138,38773,5232,574,1791,538,1,1,8,1068,474,667,2333,13956,477,24553,1692
87742,39559,8860,7695,539,1300,0,3,3,0,5948,1278,799,1496,2567,1211,6959,901
87933,18881,8776,1947,61,993,73,0,0,0,911,117,133,1296,2455,559,583,977
88767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89200,196379,39841,38730,2912,20728,1,0,10,0,32797,10537,5189,14841,3422,3357,754,23260
89452,3746,1049,66,19,46,13,0,0,4,60,18,12,124,588,39,1579,129
89468,16759,3847,42,23,112,187,0,0,120,66,24,9,868,5470,187,5055,749
